# ========
# captured on: Wed Feb  6 11:49:58 2013
# hostname : santana
# os release : 3.7.3-101.fc17.x86_64
# perf version : 3.7.3-101.fc17.x86_64
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz
# cpuid : GenuineIntel,6,58,9
# total memory : 3612352 kB
# cmdline : /usr/bin/perf record --event=r003b088 -j any_call --pid=4158,4157,4156,4155,4154,4153,4152,4151,4150,4149,4148,4147,4146,4145,4144,4143,4142,4141,4140,4139,4138,4137,4136,4135,4134,4133,4132,4131,4130,4129,4128,4127,4126,4125,4124,4123,4122,4121,4120,4119,4118,4117,4116,4115,4114,4113,4112,4111,4110,4109,4108,4107,4106,4105,4104,4103,4102,4101,4100,4099,4098,4097,4096,4095,4088,4087,4086,4085,4083,4081 ./waitforpid.sh 4092 
# event : name = r003b088, type = 4, config = 0x3b088, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 51680, 51681, 51682, 51683, 51684, 51685, 51686, 51687, 51688, 51689, 51690, 51691, 51692, 51693, 51694, 51695, 51696, 51697, 51698, 51699, 51700, 51701, 51702, 51703, 51704, 51705, 51706, 51707, 51708, 51709, 51710, 51711, 51712, 51713, 51714, 51715, 51716, 51717, 51718, 51719, 51720, 51721, 51722, 51723, 51724, 51725, 51726, 51727, 51728, 51729, 51730, 51731, 51732, 51733, 51734, 51735, 51736, 51737, 51738, 51739, 51740, 51741, 51742, 51743, 51744, 51745, 51746, 51747, 51748, 51749 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# contains samples with branch stack
# pmu mappings: cpu = 4, software = 1, tracepoint = 2, breakpoint = 5
# ========
#
# Samples: 9M of event 'r003b088'
# Event count (approx.): 9290766
#
# Overhead   Command  Source Shared Object                                  Source Symbol  Target Shared Object                                  Target Symbol
# ........  ........  ....................  .............................................  ....................  .............................................
#
     0.13%  postgres  [kernel.kallsyms]     [k] sys_semop                                  [kernel.kallsyms]     [k] sys_semtimedop                           
     0.13%  postgres  postgres              [.] RelationIncrementReferenceCount            postgres              [.] ResourceOwnerEnlargeRelationRefs         
     0.13%  postgres  postgres              [k] ReadBuffer_common                          postgres              [k] LWLockRelease                            
     0.13%  postgres  postgres              [.] ReadBuffer_common                          postgres              [.] PinBuffer                                
     0.13%  postgres  postgres              [k] ReadBuffer_common                          postgres              [k] BufTableLookup                           
     0.13%  postgres  [kernel.kallsyms]     [k] ipc_lock                                   [kernel.kallsyms]     [k] idr_find                                 
     0.12%  postgres  [kernel.kallsyms]     [k] update_curr                                [kernel.kallsyms]     [k] cpuacct_charge                           
     0.12%  postgres  [kernel.kallsyms]     [k] security_ipc_permission                    [kernel.kallsyms]     [k] selinux_ipc_permission                   
     0.12%  postgres  postgres              [.] heap_fetch                                 postgres              [.] LockBuffer                               
     0.12%  postgres  postgres              [.] PinBuffer                                  postgres              [.] ResourceOwnerRememberBuffer              
     0.12%  postgres  [kernel.kallsyms]     [k] selinux_ipc_permission                     [kernel.kallsyms]     [k] ipc_has_perm.isra.21                     
     0.12%  postgres  [kernel.kallsyms]     [k] system_call                                [kernel.kallsyms]     [k] sys_semop                                
     0.12%  postgres  [kernel.kallsyms]     [k] sys_semtimedop                             [kernel.kallsyms]     [k] ipc_lock_check                           
     0.12%  postgres  [kernel.kallsyms]     [k] ipc_lock                                   [kernel.kallsyms]     [k] _raw_spin_lock                           
     0.12%  postgres  postgres              [.] internal_putbytes                          postgres              [.] memcpy@plt                               
     0.12%  postgres  [kernel.kallsyms]     [k] sys_semtimedop                             [kernel.kallsyms]     [k] _copy_from_user                          
     0.12%  postgres  [kernel.kallsyms]     [k] group_balance_cpu                          [kernel.kallsyms]     [k] cpumask_next_and                         
     0.12%  postgres  postgres              [.] _bt_binsrch                                postgres              [.] _bt_compare                              
     0.12%  postgres  [kernel.kallsyms]     [k] unlink_queue.isra.8                        [kernel.kallsyms]     [k] list_del                                 
     0.12%  postgres  [kernel.kallsyms]     [k] ipcperms                                   [kernel.kallsyms]     [k] security_ipc_permission                  
     0.12%  postgres  postgres              [.] FunctionCall2Coll                          postgres              [.] btint4cmp                                
     0.12%  postgres  postgres              [.] LockAcquireExtended                        postgres              [.] SHMQueueInsertBefore                     
     0.12%  postgres  postgres              [.] ReleaseBuffer                              postgres              [.] ResourceOwnerForgetBuffer                
     0.12%  postgres  [kernel.kallsyms]     [k] sys_semtimedop                             [kernel.kallsyms]     [k] _cond_resched                            
     0.12%  postgres  postgres              [.] makeString                                 postgres              [.] MemoryContextAllocZeroAligned            
     0.12%  postgres  postgres              [.] expression_tree_walker                     postgres              [.] fix_scan_expr_walker                     
     0.12%  postgres  postgres              [.] pq_putmessage                              postgres              [.] internal_putbytes                        
     0.11%  postgres  [kernel.kallsyms]     [k] sys_semtimedop                             [kernel.kallsyms]     [k] ipcperms                                 
     0.11%  postgres  postgres              [.] RelationIdGetRelation                      postgres              [.] hash_search                              
     0.11%  postgres  postgres              [.] _bt_compare                                postgres              [.] FunctionCall2Coll                        
     0.11%  postgres  postgres              [.] relation_open                              postgres              [.] RelationIdGetRelation                    
     0.11%  postgres  [kernel.kallsyms]     [k] sys_semtimedop                             [kernel.kallsyms]     [k] __list_add                               
     0.11%  postgres  [kernel.kallsyms]     [k] sys_semtimedop                             [kernel.kallsyms]     [k] try_atomic_semop.isra.5                  
     0.11%  postgres  postgres              [.] eval_const_expressions_mutator             postgres              [.] expression_tree_mutator                  
     0.11%  postgres  [kernel.kallsyms]     [k] find_busiest_group                         [kernel.kallsyms]     [k] update_sd_lb_stats                       
     0.11%  postgres  [kernel.kallsyms]     [k] selinux_sem_semop                          [kernel.kallsyms]     [k] ipc_has_perm.isra.21                     
     0.11%  postgres  [kernel.kallsyms]     [k] intel_pmu_enable_all                       [kernel.kallsyms]     [k] native_write_msr_safe                    
     0.11%  postgres  [kernel.kallsyms]     [k] update_sd_lb_stats                         [kernel.kallsyms]     [k] group_balance_cpu                        
     0.11%  postgres  [kernel.kallsyms]     [k] security_sem_semop                         [kernel.kallsyms]     [k] selinux_sem_semop                        
     0.11%  postgres  postgres              [.] RelationIdGetRelation                      postgres              [.] RelationIncrementReferenceCount          
     0.11%  postgres  postgres              [.] relation_open                              postgres              [.] pgstat_initstats                         
     0.11%  postgres  [kernel.kallsyms]     [k] sys_semtimedop                             [kernel.kallsyms]     [k] security_sem_semop                       
     0.11%  postgres  [kernel.kallsyms]     [k] perf_event_context_sched_in                [kernel.kallsyms]     [k] perf_pmu_rotate_start.isra.53            
     0.10%  postgres  postgres              [.] LockReleaseAll                             postgres              [.] SHMQueueNext                             
     0.10%  postgres  [kernel.kallsyms]     [k] idle_balance                               [kernel.kallsyms]     [k] msecs_to_jiffies                         
     0.10%  postgres  [kernel.kallsyms]     [k] load_balance                               [kernel.kallsyms]     [k] find_busiest_group                       
     0.10%  postgres  postgres              [.] expression_tree_mutator                    postgres              [.] MemoryContextAlloc                       
     0.10%  postgres  [kernel.kallsyms]     [k] __dequeue_entity                           [kernel.kallsyms]     [k] rb_erase                                 
     0.10%  postgres  postgres              [.] set_ps_display                             postgres              [.] strlen@plt                               
     0.10%  postgres  [kernel.kallsyms]     [k] __dequeue_entity                           [kernel.kallsyms]     [k] rb_next                                  
     0.10%  postgres  [kernel.kallsyms]     [k] pick_next_task_fair                        [kernel.kallsyms]     [k] clear_buddies                            
     0.10%  postgres  [kernel.kallsyms]     [k] idle_balance                               [kernel.kallsyms]     [k] load_balance                             
     0.10%  postgres  [kernel.kallsyms]     [k] load_balance                               [kernel.kallsyms]     [k] __bitmap_weight                          
     0.10%  postgres  postgres              [.] set_ps_display                             postgres              [.] strlcpy                                  
     0.10%  postgres  postgres              [.] LockAcquireExtended                        postgres              [.] hash_search                              
     0.10%  postgres  [kernel.kallsyms]     [k] account_entity_dequeue                     [kernel.kallsyms]     [k] __list_del_entry                         
     0.10%  postgres  [kernel.kallsyms]     [k] set_next_entity                            [kernel.kallsyms]     [k] update_stats_wait_end                    
     0.10%  postgres  [kernel.kallsyms]     [k] pick_next_task_fair                        [kernel.kallsyms]     [k] set_next_entity                          
     0.10%  postgres  postgres              [.] LockAcquireExtended                        postgres              [.] RecoveryInProgress                       
     0.10%  postgres  postgres              [.] ExecTypeFromTLInternal                     postgres              [.] exprTypmod                               
     0.10%  postgres  postgres              [.] ExecSetSlotDescriptor                      postgres              [.] MemoryContextAlloc                       
     0.09%  postgres  postgres              [.] ExecTypeFromTLInternal                     postgres              [.] TupleDescInitEntryCollation              
     0.09%  postgres  [kernel.kallsyms]     [k] __schedule                                 [kernel.kallsyms]     [k] put_prev_task_fair                       
     0.09%  postgres  [kernel.kallsyms]     [.] lock_hrtimer_base.isra.21                  [kernel.kallsyms]     [.] _raw_spin_lock_irqsave                   
     0.09%  postgres  postgres              [.] TupleDescInitEntry                         postgres              [.] SearchSysCache                           
     0.09%  postgres  [kernel.kallsyms]     [k] dequeue_task                               [kernel.kallsyms]     [k] update_rq_clock                          
     0.09%  postgres  [kernel.kallsyms]     [k] __schedule                                 [kernel.kallsyms]     [k] rcu_note_context_switch                  
     0.09%  postgres  postgres              [.] namestrcpy                                 postgres              [.] strncpy@plt                              
     0.09%  postgres  [kernel.kallsyms]     [k] __schedule                                 [kernel.kallsyms]     [k] _raw_spin_lock_irq                       
