# ========
# captured on: Wed Feb  6 11:49:58 2013
# hostname : santana
# os release : 3.7.3-101.fc17.x86_64
# perf version : 3.7.3-101.fc17.x86_64
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz
# cpuid : GenuineIntel,6,58,9
# total memory : 3612352 kB
# cmdline : /usr/bin/perf record --event=r003b088 -j any_call --pid=4158,4157,4156,4155,4154,4153,4152,4151,4150,4149,4148,4147,4146,4145,4144,4143,4142,4141,4140,4139,4138,4137,4136,4135,4134,4133,4132,4131,4130,4129,4128,4127,4126,4125,4124,4123,4122,4121,4120,4119,4118,4117,4116,4115,4114,4113,4112,4111,4110,4109,4108,4107,4106,4105,4104,4103,4102,4101,4100,4099,4098,4097,4096,4095,4088,4087,4086,4085,4083,4081 ./waitforpid.sh 4092 
# event : name = r003b088, type = 4, config = 0x3b088, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 51680, 51681, 51682, 51683, 51684, 51685, 51686, 51687, 51688, 51689, 51690, 51691, 51692, 51693, 51694, 51695, 51696, 51697, 51698, 51699, 51700, 51701, 51702, 51703, 51704, 51705, 51706, 51707, 51708, 51709, 51710, 51711, 51712, 51713, 51714, 51715, 51716, 51717, 51718, 51719, 51720, 51721, 51722, 51723, 51724, 51725, 51726, 51727, 51728, 51729, 51730, 51731, 51732, 51733, 51734, 51735, 51736, 51737, 51738, 51739, 51740, 51741, 51742, 51743, 51744, 51745, 51746, 51747, 51748, 51749 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# contains samples with branch stack
# pmu mappings: cpu = 4, software = 1, tracepoint = 2, breakpoint = 5
# ========
#
# Samples: 9M of event 'r003b088'
# Event count (approx.): 9290766
#
# Overhead   Command  Source Shared Object                                  Source Symbol  Target Shared Object                                  Target Symbol
# ........  ........  ....................  .............................................  ....................  .............................................
#
     0.35%  postgres  [kernel.kallsyms]     [k] select_task_rq_fair                        [kernel.kallsyms]     [k] find_next_bit                            
     0.30%  postgres  postgres              [.] base_yylex                                 postgres              [.] core_yylex                               
     0.29%  postgres  [kernel.kallsyms]     [k] select_task_rq_fair                        [kernel.kallsyms]     [k] __bitmap_intersects                      
     0.29%  postgres  postgres              [.] base_yyparse                               postgres              [.] base_yylex                               
     0.28%  postgres  postgres              [.] ExecInitExpr                               postgres              [.] check_stack_depth                        
     0.26%  postgres  [kernel.kallsyms]     [k] auditsys                                   [kernel.kallsyms]     [k] __audit_syscall_entry                    
     0.26%  postgres  [kernel.kallsyms]     [k] __audit_syscall_entry                      [kernel.kallsyms]     [k] current_kernel_time                      
     0.25%  postgres  [kernel.kallsyms]     [k] update_shares                              [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore              
     0.24%  postgres  [kernel.kallsyms]     [k] update_shares                              [kernel.kallsyms]     [k] update_cfs_load                          
     0.24%  postgres  [kernel.kallsyms]     [k] update_curr                                [kernel.kallsyms]     [k] calc_delta_mine                          
     0.24%  postgres  [kernel.kallsyms]     [k] update_shares                              [kernel.kallsyms]     [k] update_cfs_shares                        
     0.24%  postgres  [kernel.kallsyms]     [k] dequeue_entity                             [kernel.kallsyms]     [k] update_cfs_shares                        
     0.24%  postgres  [kernel.kallsyms]     [k] dequeue_entity                             [kernel.kallsyms]     [k] account_entity_dequeue                   
     0.24%  postgres  [kernel.kallsyms]     [.] __enqueue_entity                           [kernel.kallsyms]     [.] rb_insert_color                          
     0.24%  postgres  [kernel.kallsyms]     [.] __audit_syscall_exit                       [kernel.kallsyms]     [.] unroll_tree_refs                         
     0.24%  postgres  postgres              [.] ExecInitExpr                               postgres              [.] ExecInitExpr                             
     0.24%  postgres  [kernel.kallsyms]     [k] dequeue_entity                             [kernel.kallsyms]     [k] update_min_vruntime                      
     0.24%  postgres  [kernel.kallsyms]     [k] dequeue_entity                             [kernel.kallsyms]     [k] update_cfs_load                          
     0.24%  postgres  [kernel.kallsyms]     [.] __audit_syscall_exit                       [kernel.kallsyms]     [.] kfree                                    
     0.23%  postgres  [kernel.kallsyms]     [k] dequeue_entity                             [kernel.kallsyms]     [k] update_curr                              
     0.23%  postgres  [kernel.kallsyms]     [k] sysret_audit                               [kernel.kallsyms]     [k] __audit_syscall_exit                     
     0.23%  postgres  [kernel.kallsyms]     [k] update_shares                              [kernel.kallsyms]     [k] update_rq_clock                          
     0.23%  postgres  postgres              [.] SearchCatCache                             postgres              [.] heap_getsysattr                          
     0.23%  postgres  [kernel.kallsyms]     [.] path_put                                   [kernel.kallsyms]     [.] mntput                                   
     0.23%  postgres  postgres              [.] lcons                                      postgres              [.] new_list                                 
     0.23%  postgres  [kernel.kallsyms]     [.] path_put                                   [kernel.kallsyms]     [.] dput                                     
     0.23%  postgres  [kernel.kallsyms]     [k] dequeue_task_fair                          [kernel.kallsyms]     [k] dequeue_entity                           
     0.23%  postgres  postgres              [.] hash_search                                postgres              [.] tag_hash                                 
     0.22%  postgres  [kernel.kallsyms]     [k] ipc_has_perm.isra.21                       [kernel.kallsyms]     [k] avc_has_perm_flags                       
     0.22%  postgres  [kernel.kallsyms]     [k] update_shares                              [kernel.kallsyms]     [k] _raw_spin_lock_irqsave                   
     0.22%  postgres  [kernel.kallsyms]     [k] update_cfs_shares                          [kernel.kallsyms]     [k] account_entity_enqueue                   
     0.22%  postgres  [kernel.kallsyms]     [k] update_cfs_shares                          [kernel.kallsyms]     [k] account_entity_dequeue                   
     0.22%  postgres  [kernel.kallsyms]     [k] dequeue_entity                             [kernel.kallsyms]     [k] clear_buddies                            
     0.22%  postgres  [kernel.kallsyms]     [k] update_cfs_shares                          [kernel.kallsyms]     [k] update_curr                              
